id,nombre,edad,nacionalidad,rating,club,valor,id_perfil,numero_jersey,altura,peso,carrera,conclusion,efectividad_cabeza,pases_cortos,voleas,dribling,pases_largos,control_balon,aceleración,agilidad,poder_tiro,salto,actitud,poder,tiros_largos,agresividad,posicionamiento,visión,penalties
2,Neymar Jr,26,Brazil,92,Paris Saint-Germain,118.5,0,10.0,179.0,68.0,79.0,87.0,62.0,84.0,84.0,96.0,78.0,95.0,94.0,96.0,80.0,61.0,81.0,49.0,82.0,56.0,89.0,87.0,81.0
3,De Gea,27,Spain,91,Manchester United,72.0,0,1.0,195.0,76.0,17.0,13.0,21.0,50.0,13.0,18.0,51.0,42.0,57.0,60.0,31.0,67.0,43.0,64.0,12.0,38.0,12.0,68.0,40.0
4,K. De Bruyne,27,Belgium,91,Manchester City,102.0,0,7.0,155.0,69.0,93.0,82.0,55.0,92.0,82.0,86.0,91.0,91.0,78.0,79.0,91.0,63.0,90.0,75.0,91.0,76.0,87.0,94.0,79.0
5,E. Hazard,27,Belgium,91,Chelsea,93.0,0,10.0,176.0,73.0,81.0,84.0,61.0,89.0,80.0,95.0,83.0,94.0,94.0,95.0,82.0,56.0,83.0,66.0,80.0,54.0,87.0,89.0,86.0
6,L. Modrić,32,Croatia,91,Real Madrid,67.0,0,10.0,176.0,66.0,86.0,72.0,55.0,93.0,76.0,90.0,88.0,93.0,80.0,93.0,79.0,68.0,89.0,58.0,82.0,62.0,79.0,92.0,82.0
7,L. Suárez,31,Uruguay,91,FC Barcelona,80.0,0,9.0,182.0,86.0,77.0,93.0,77.0,82.0,88.0,87.0,64.0,90.0,86.0,82.0,86.0,69.0,90.0,83.0,85.0,87.0,92.0,84.0,85.0
8,Sergio Ramos,32,Spain,91,Real Madrid,51.0,0,15.0,182.0,82.0,66.0,60.0,91.0,78.0,66.0,63.0,77.0,84.0,76.0,78.0,79.0,93.0,84.0,83.0,59.0,88.0,60.0,63.0,75.0
9,J. Oblak,25,Slovenia,90,Atlético Madrid,68.0,0,1.0,188.0,87.0,13.0,11.0,15.0,29.0,13.0,12.0,26.0,16.0,43.0,67.0,22.0,76.0,41.0,78.0,12.0,34.0,11.0,70.0,11.0
10,R. Lewandowski,29,Poland,90,FC Bayern München,77.0,0,9.0,182.0,79.0,62.0,91.0,85.0,83.0,89.0,85.0,65.0,89.0,77.0,78.0,88.0,84.0,78.0,84.0,84.0,80.0,91.0,77.0,88.0
11,T. Kroos,28,Germany,90,Real Madrid,76.5,0,8.0,182.0,76.0,88.0,76.0,54.0,92.0,82.0,81.0,93.0,90.0,64.0,70.0,87.0,30.0,75.0,73.0,92.0,60.0,79.0,86.0,73.0
12,D. Godín,32,Uruguay,90,Atlético Madrid,44.0,0,10.0,188.0,78.0,55.0,42.0,92.0,79.0,47.0,53.0,70.0,76.0,68.0,58.0,67.0,91.0,66.0,88.0,43.0,89.0,48.0,52.0,50.0
13,David Silva,32,Spain,90,Manchester City,60.0,1,21.0,176.0,67.0,84.0,76.0,54.0,93.0,82.0,89.0,87.0,94.0,70.0,92.0,72.0,64.0,78.0,52.0,75.0,57.0,89.0,92.0,75.0
14,N. Kanté,27,France,89,Chelsea,63.0,0,13.0,170.0,72.0,68.0,65.0,54.0,86.0,56.0,79.0,81.0,80.0,82.0,82.0,71.0,77.0,96.0,76.0,69.0,90.0,71.0,79.0,54.0
15,P. Dybala,24,Argentina,89,Juventus,89.0,1,21.0,155.0,74.0,82.0,84.0,68.0,87.0,88.0,92.0,75.0,92.0,87.0,91.0,82.0,75.0,80.0,65.0,88.0,48.0,84.0,87.0,86.0
